offenderID;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15;x16;x17;x18;x19;x20;x21;x22
14546;5.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;5.0;30.0;7364.3
5480;24.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;1.0;1.0;4.0;3.0;3.0;1.0;2.0;2.0;14.0;0.0;4.0;24.0;14.0;68700.9
1867;38.0;2.0;0.0;0.0;0.0;0.0;1.0;15.0;14.0;1.0;5.0;0.0;0.0;5.0;2.0;0.0;22.0;0.0;0.0;38.0;15.0;10494.2
9673;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;3.0;20.0;18191.8
16357;13.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;11.0;1.0;0.0;13.0;25.0;46502.3
11492;28.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;2.0;1.0;4.0;0.0;2.0;9.0;0.0;6.0;18.0;1.0;0.0;28.0;12.0;49141.7
10118;24.0;3.0;0.0;0.0;0.0;0.0;0.0;10.0;4.0;0.0;1.0;4.0;0.0;2.0;4.0;3.0;11.0;0.0;0.0;24.0;14.0;39431.1
6696;25.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;5.0;1.0;3.0;0.0;0.0;4.0;0.0;3.0;4.0;0.0;25.0;17.0;3611.4
37;47.0;1.0;1.0;0.0;0.0;0.0;0.0;41.0;3.0;0.0;5.0;0.0;4.0;13.0;5.0;1.0;30.0;0.0;0.0;47.0;17.0;34023.5
6180;6.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;2.0;3.0;2.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;6.0;24.0;47381.5
